datum,ss_watertemp_blueriiot_c,ss_ph_blueriiot,ss_conductivity_blueriiot
2026-07-20,23.6,,
2026-07-21,23.0,,
2026-07-22,22.9,8.0,643.0
2026-07-23,22.6,7.8,467.0
2026-07-24,22.4,7.7,516.0
2026-07-25,23.0,7.9,489.0
2026-07-26,23.4,7.8,483.0
2026-07-27,22.7,7.7,506.0
2026-07-28,22.4,7.9,732.0
2026-07-29,23.4,7.7,751.0
2026-07-30,23.9,7.6,768.0
2026-07-31,23.9,7.6,529.0
2026-08-01,23.8,7.7,569.0
2026-08-02,23.4,7.8,568.0
2026-08-03,23.6,7.8,796.0
2026-08-04,24.6,7.9,845.0
2026-08-05,24.3,7.8,516.0
2026-08-06,23.9,7.7,826.0
2026-08-08,15.5,7.5,630.0
2026-08-09,17.1,7.5,690.0
2026-08-10,17.9,7.8,753.0
2026-08-11,16.6,7.2,89.0
2026-08-12,16.4,8.0,634.0
2026-08-13,19.6,7.4,980.0
2026-08-14,20.1,7.4,991.0
2026-08-15,20.7,7.4,1001.0
2026-08-16,21.1,7.4,985.0
2026-08-17,20.7,7.4,988.0
2026-08-18,20.2,7.3,712.0
2026-08-19,19.8,7.3,901.0
2026-08-20,19.0,7.1,445.0
2026-08-21,18.9,7.2,605.0
2026-08-22,18.7,7.2,575.0
2026-08-23,18.4,7.2,632.0
2026-08-24,17.8,7.3,778.0
2026-08-25,17.9,7.3,828.0
2026-08-26,17.8,7.3,843.0
